Load,12V,5V,3.3V,Moc,Sprawnosc,RPM,db(A),12V,5V,3.3V
0.1,12.04,5.082,3.331,84.838,.84621,0,0,12.2,13.4,12.9
0.2,12.02,5.065,3.318,169.346,.89634,0,0,14.7,15.6,15.2
0.3,11.999,5.051,3.306,254.436,.91243,0,0,18.3,16.7,16.8
0.4,11.979,5.038,3.295,339.638,.91691,0,0,21.7,18.2,18.7
0.5,11.957,5.020,3.281,424.957,.91619,0,0,24.5,20.6,21.1
0.6,11.935,5.001,3.267,509.464,.91307,605,25.2,127.7,22.1,53.3
0.7,11.913,4.982,3.252,594.802,.90798,725,29.2,31.0,23.7,25.6
0.8,11.890,4.963,3.238,680.147,.90218,870,34.4,34.7,27.1,29.2
0.9,11.866,4.948,3.225,765.090,.89622,970,37.0,41.0,29.2,31.2
1,11.843,4.933,3.212,849.913,.88844,1245,42.7,45.0,31.7,34.6
